SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2325,4,2,Rural,1957,"AED 2,53,691"
2301,5,1,Urban,2020,"AED 2,69,530"
2674,3,3,Rural,1952,"AED 3,15,173"
2711,5,3,Urban,1957,"AED 2,64,612"
2031,2,3,Rural,1979,"AED 1,76,221"
1806,3,1,Rural,1989,"AED 2,57,996"
1234,5,1,Rural,1989,"AED 1,75,498"
1674,3,3,Suburb,1992,"AED 1,89,283"
1560,4,2,Suburb,2017,"AED 1,82,339"
2325,3,2,Suburb,1952,"AED 2,90,293"
1037,2,2,Urban,1968,"AED 1,23,458"
2159,5,3,Rural,1970,"AED 1,84,002"
1821,3,3,Suburb,2018,"AED 2,52,367"
1420,4,2,Urban,1974,"AED 2,64,328"
2242,5,1,Suburb,1966,"AED 2,65,016"
1347,5,2,Urban,1970,"AED 2,27,813"
2831,5,1,Urban,2015,"AED 2,30,272"
2569,2,2,Suburb,1993,"AED 2,98,587"
2887,4,3,Urban,1961,"AED 2,38,228"
2102,4,2,Suburb,2003,"AED 2,23,115"
1747,5,1,Rural,1952,"AED 2,24,507"
2918,3,1,Rural,2008,"AED 2,56,356"
1272,5,2,Urban,2012,"AED 1,33,765"
2184,4,3,Suburb,2013,"AED 2,13,367"
2710,2,3,Rural,2002,"AED 3,29,115"
2901,2,1,Urban,1961,"AED 2,89,497"
1307,5,3,Rural,2017,"AED 1,49,129"
2397,2,2,Suburb,1965,"AED 2,83,920"
1975,2,1,Urban,2008,"AED 2,51,911"
1732,3,1,Urban,1967,"AED 1,43,201"
2032,2,2,Urban,1966,"AED 3,21,815"
2824,3,2,Urban,2020,"AED 3,69,297"
1443,5,2,Urban,1952,"AED 2,62,467"
2136,4,3,Rural,1986,"AED 2,30,225"
2228,4,3,Urban,1990,"AED 2,86,984"
1404,3,3,Rural,1970,"AED 1,71,492"
2721,4,2,Rural,2010,"AED 3,73,189"
1852,5,3,Urban,1956,"AED 1,61,227"
2220,4,3,Urban,1972,"AED 3,48,884"
1777,2,2,Suburb,1953,"AED 2,18,513"
2797,5,2,Suburb,1972,"AED 3,14,000"
2783,5,2,Suburb,1979,"AED 2,78,592"
1114,4,1,Rural,2003,"AED 1,75,469"
2144,4,2,Suburb,1974,"AED 2,55,312"
2676,3,2,Rural,1960,"AED 3,14,910"
1064,2,3,Rural,2017,"AED 1,80,827"
2299,4,1,Rural,1955,"AED 2,71,863"
1824,4,3,Urban,1981,"AED 2,78,935"
1238,3,1,Rural,1953,"AED 60,273"
1301,4,2,Suburb,1958,"AED 2,10,540"
2415,2,1,Suburb,1992,"AED 1,98,946"
2545,2,2,Suburb,1959,"AED 2,71,821"
1968,5,1,Suburb,2013,"AED 1,12,121"
1368,5,3,Rural,1977,"AED 1,70,538"
1232,2,1,Suburb,1998,"AED 1,78,832"
1194,3,1,Rural,1996,"AED 98,328"
1906,5,2,Urban,1962,"AED 3,00,109"
2035,2,3,Suburb,1981,"AED 1,40,705"
2929,2,3,Rural,2002,"AED 2,77,215"
1920,5,2,Rural,1987,"AED 1,34,160"
1688,2,2,Rural,1993,"AED 1,74,827"
1176,2,3,Suburb,2003,"AED 61,455"
1216,2,1,Suburb,1967,"AED 84,900"
2034,2,3,Suburb,2020,"AED 3,09,247"
2469,5,3,Rural,1963,"AED 1,66,286"
1629,3,3,Rural,2008,"AED 1,27,820"
1163,2,2,Urban,2001,"AED 34,740"
2574,4,2,Rural,2013,"AED 3,25,116"
1052,3,1,Rural,1990,"AED 1,57,635"
1217,4,1,Urban,1955,"AED 73,625"
2741,4,3,Suburb,2014,"AED 3,26,675"
1998,2,2,Rural,1982,"AED 2,54,509"
1823,5,3,Urban,1959,"AED 2,31,727"
2383,4,2,Rural,1999,"AED 1,64,710"
1384,4,3,Urban,1991,"AED 1,12,861"
1055,4,1,Suburb,2012,"AED 1,21,692"
1117,2,3,Rural,1989,"AED 82,525"
1899,2,2,Urban,1960,"AED 1,25,590"
2276,5,2,Suburb,1993,"AED 3,05,600"
1797,2,3,Urban,1950,"AED 2,02,648"
1779,3,1,Urban,1973,"AED 2,53,088"
2015,5,3,Rural,1996,"AED 3,10,837"
1802,2,3,Suburb,1980,"AED 1,60,354"
1844,2,2,Rural,2012,"AED 88,041"
2203,4,2,Suburb,1962,"AED 2,65,962"
2438,2,1,Rural,1987,"AED 1,93,536"
2893,4,3,Suburb,2017,"AED 3,19,808"
2258,2,1,Urban,1974,"AED 2,65,213"
1854,2,3,Suburb,2013,"AED 1,92,180"
1707,2,1,Urban,1991,"AED 2,25,965"
2843,2,3,Urban,1995,"AED 3,32,223"
2103,2,1,Rural,1966,"AED 1,85,929"
2670,5,3,Suburb,1955,"AED 2,39,400"
1021,2,2,Rural,1985,"AED 1,03,913"
2500,2,3,Suburb,2006,"AED 2,84,619"
1842,4,3,Suburb,1967,"AED 2,09,688"
2463,3,2,Rural,2010,"AED 2,63,198"
2760,3,3,Suburb,2000,"AED 3,52,783"
2593,5,1,Rural,1991,"AED 2,36,481"
2116,2,3,Urban,2020,"AED 2,46,268"
1191,3,1,Urban,1978,"AED 1,19,289"
2018,4,2,Suburb,1951,"AED 2,55,925"
2126,4,1,Rural,1988,"AED 2,77,524"
1395,5,2,Suburb,1953,"AED 1,66,372"
2030,4,1,Urban,1957,"AED 3,60,921"
1639,3,2,Suburb,2021,"AED 1,76,586"
2018,3,3,Urban,1977,"AED 1,89,741"
1566,3,1,Urban,2004,"AED 2,79,160"
1230,2,2,Urban,1953,"AED 1,38,439"
1873,4,3,Rural,1973,"AED 1,63,621"
1573,4,3,Rural,1957,"AED 1,78,623"
1239,2,2,Urban,2014,"AED 88,467"
1089,3,2,Urban,1980,"AED 1,61,530"
1231,4,1,Urban,1973,"AED 1,50,895"
1456,3,2,Urban,2010,"AED 2,05,057"
1232,2,3,Rural,1975,"AED 1,34,923"
1353,3,2,Rural,2012,"AED 1,44,083"
2004,5,1,Rural,2001,"AED 2,29,448"
2356,2,1,Rural,1994,"AED 1,44,359"
1438,3,1,Suburb,1967,"AED 2,10,425"
2398,2,1,Suburb,2005,"AED 1,97,299"
2315,4,1,Rural,1985,"AED 3,42,375"
1344,5,1,Suburb,1987,"AED 1,68,154"
1663,2,2,Urban,2003,"AED 1,48,815"
2451,3,1,Suburb,1973,"AED 3,09,367"
1656,4,2,Rural,1970,"AED 1,93,034"
1129,3,2,Rural,2020,"AED 1,04,818"
1140,3,3,Urban,1994,"AED 1,52,834"
1414,2,2,Rural,1955,"AED 2,34,969"
2116,2,2,Rural,1995,"AED 2,04,766"
1625,3,2,Rural,2003,"AED 1,96,787"
1283,2,1,Rural,1982,"AED 1,79,120"
2979,3,2,Rural,1970,"AED 3,14,424"
2946,2,3,Rural,2013,"AED 3,03,161"
2678,5,2,Suburb,1970,"AED 2,34,883"
1222,2,1,Rural,1999,"AED 1,79,639"
1743,3,2,Urban,1958,"AED 1,52,226"
1462,4,1,Suburb,2010,"AED 1,98,514"
2568,2,1,Rural,1979,"AED 2,94,928"
2299,5,1,Suburb,1999,"AED 2,44,250"
2705,5,2,Rural,1977,"AED 3,30,064"
2163,5,2,Rural,2020,"AED 3,01,910"
1356,5,2,Suburb,1972,"AED 2,75,214"
2736,3,3,Suburb,2004,"AED 2,69,043"
2046,5,3,Urban,1974,"AED 1,76,236"
2991,4,1,Suburb,1964,"AED 3,38,829"
2759,2,3,Rural,1952,"AED 2,88,230"
2903,5,2,Rural,1967,"AED 3,01,470"
2293,2,2,Urban,2018,"AED 2,09,596"
1858,3,2,Suburb,1965,"AED 2,10,897"
1664,2,3,Suburb,1973,"AED 1,04,495"
2356,3,1,Urban,1986,"AED 2,89,384"
2014,3,3,Suburb,1980,"AED 2,22,525"
1084,2,1,Suburb,1993,"AED 79,723"
1620,5,2,Suburb,1970,"AED 2,52,638"
2054,4,1,Suburb,1971,"AED 2,95,879"
2764,2,3,Rural,1994,"AED 2,47,612"
1239,4,3,Suburb,1982,"AED 88,739"
2913,2,3,Urban,2010,"AED 3,05,144"
1362,4,2,Urban,1965,"AED 1,71,157"
1821,2,2,Urban,1960,"AED 1,91,143"
2412,4,3,Suburb,2006,"AED 2,77,522"
2676,4,2,Rural,1985,"AED 2,56,543"
1667,2,3,Urban,1986,"AED 1,43,673"
2322,2,1,Urban,1986,"AED 2,97,413"
2880,3,1,Rural,1961,"AED 3,76,893"
2394,4,2,Urban,1995,"AED 2,15,274"
1098,2,2,Suburb,1993,"AED 66,269"
1046,5,2,Urban,2017,"AED 1,43,814"
1838,5,2,Suburb,1986,"AED 1,73,344"
1421,3,1,Rural,1972,"AED 2,36,826"
2503,5,3,Rural,1968,"AED 2,30,607"
2602,2,3,Urban,1999,"AED 2,78,162"
1061,4,2,Suburb,1956,"AED 64,761"
2132,2,3,Rural,1981,"AED 2,02,928"
2702,5,2,Urban,2020,"AED 2,95,396"
2572,5,3,Urban,1989,"AED 1,85,263"
2142,2,2,Urban,1955,"AED 1,96,626"
2009,3,2,Rural,1981,"AED 2,12,758"
1597,2,3,Suburb,1958,"AED 1,45,326"
2405,3,2,Suburb,1993,"AED 2,64,140"
1391,5,3,Suburb,1998,"AED 1,64,719"
1976,4,1,Urban,1975,"AED 3,46,318"
2075,4,2,Suburb,2001,"AED 2,51,491"
1602,2,2,Rural,1984,"AED 1,36,244"
2312,3,1,Urban,1969,"AED 1,99,442"
1336,5,2,Rural,1992,"AED 2,13,000"
1809,4,1,Rural,2002,"AED 1,46,836"
2227,2,3,Rural,2003,"AED 2,77,127"
2903,2,1,Suburb,1968,"AED 3,79,049"
2261,5,3,Urban,2016,"AED 2,98,793"
2405,5,1,Urban,1997,"AED 3,18,175"
2690,2,1,Rural,1960,"AED 3,03,068"
1751,2,1,Urban,1976,"AED 2,15,299"
2159,2,2,Urban,2017,"AED 1,72,158"
2430,3,2,Suburb,1994,"AED 3,54,766"
2531,5,2,Urban,2010,"AED 3,82,625"
2385,2,2,Rural,1984,"AED 2,03,552"
2404,5,3,Urban,1951,"AED 2,86,152"
1880,2,1,Rural,1959,"AED 2,45,675"
2599,2,3,Urban,1969,"AED 3,15,832"
1634,2,1,Rural,2008,"AED 2,60,941"
1253,5,1,Rural,2018,"AED 1,93,071"
2500,2,3,Urban,1967,"AED 2,93,526"
2137,2,1,Rural,2018,"AED 2,28,900"
1019,5,2,Suburb,1987,"AED 1,41,931"
1527,2,2,Suburb,1968,"AED 2,17,827"
2168,4,3,Rural,1958,"AED 2,83,106"
2231,4,3,Rural,1967,"AED 2,41,843"
2554,2,3,Rural,2003,"AED 2,81,511"
1375,3,2,Urban,1986,"AED 1,57,751"
2527,5,1,Suburb,2013,"AED 2,62,552"
2927,2,3,Urban,2004,"AED 2,31,151"
1165,5,1,Urban,2016,"AED 1,22,238"
2573,3,1,Suburb,1952,"AED 3,04,811"
2204,3,3,Urban,1962,"AED 2,59,631"
1860,5,3,Urban,1954,"AED 2,69,712"
1616,3,2,Suburb,2000,"AED 2,13,156"
1611,3,3,Rural,1968,"AED 2,79,850"
2625,5,2,Urban,2011,"AED 2,67,292"
2950,3,2,Urban,1976,"AED 3,10,038"
2835,4,1,Urban,1974,"AED 1,95,100"
2467,2,2,Suburb,2003,"AED 2,33,051"
2355,4,1,Rural,1994,"AED 2,72,771"
1502,4,2,Rural,1961,"AED 2,08,998"
1912,2,3,Urban,1958,"AED 2,03,698"
1078,4,1,Urban,1976,"AED 91,975"
1584,2,3,Urban,2003,"AED 2,76,813"
2958,2,1,Suburb,1975,"AED 2,75,833"
2961,5,2,Urban,1982,"AED 2,31,460"
1687,2,1,Urban,1977,"AED 96,031"
1395,2,3,Suburb,1966,"AED 2,26,057"
2631,3,1,Rural,1968,"AED 3,15,416"
2880,3,3,Rural,1989,"AED 3,39,445"
2126,4,1,Urban,1991,"AED 2,08,489"
1401,2,2,Rural,2000,"AED 50,598"
1974,2,1,Suburb,2012,"AED 1,42,822"
1223,5,3,Suburb,1995,"AED 51,985"
1517,2,2,Suburb,1972,"AED 1,65,328"
1633,5,1,Suburb,1968,"AED 2,54,067"
1235,2,2,Suburb,2006,"AED 86,974"
2450,3,3,Rural,2008,"AED 2,73,740"
1115,3,2,Rural,1974,"AED 1,75,259"
2186,3,3,Rural,1980,"AED 1,67,161"
1225,4,1,Rural,2020,"AED 1,74,055"
1229,2,3,Urban,2020,"AED 1,55,798"
1181,3,3,Urban,1968,"AED 1,19,352"
2272,5,3,Suburb,1976,"AED 3,35,790"
2341,3,3,Urban,1983,"AED 2,96,276"
2988,2,1,Urban,1987,"AED 3,51,877"
1209,3,3,Rural,1971,"AED 1,36,085"
2679,2,3,Urban,2020,"AED 3,47,283"
2415,2,1,Suburb,1987,"AED 1,58,559"
2880,3,3,Urban,2020,"AED 2,97,876"
1095,5,1,Rural,1980,"AED 1,18,177"
1893,4,1,Urban,1986,"AED 1,87,605"
2881,2,3,Urban,2008,"AED 2,73,884"
1755,4,2,Urban,1981,"AED 2,45,745"
2109,3,1,Urban,2021,"AED 2,02,675"
1414,2,1,Rural,2012,"AED 1,51,024"
1393,2,2,Rural,1966,"AED 2,87,813"
1695,3,2,Suburb,2006,"AED 1,92,400"
2656,4,3,Suburb,1967,"AED 2,72,389"
1843,5,2,Rural,2012,"AED 1,81,637"
2524,3,1,Suburb,1997,"AED 2,60,311"
1603,3,2,Rural,1987,"AED 1,69,940"
1581,5,1,Suburb,1954,"AED 2,82,140"
2939,5,3,Suburb,2006,"AED 3,35,598"
1132,5,2,Urban,2004,"AED 1,24,729"
1790,5,2,Rural,1989,"AED 3,24,489"
1648,3,3,Suburb,1952,"AED 1,57,869"
2337,5,3,Suburb,2014,"AED 1,92,885"
2722,4,2,Urban,1964,"AED 2,75,830"
1220,5,2,Suburb,1987,"AED 65,981"
1975,2,2,Suburb,1952,"AED 2,31,034"
2461,2,2,Suburb,2007,"AED 2,59,802"
2069,5,1,Suburb,1966,"AED 2,53,362"
2813,3,2,Suburb,1954,"AED 2,77,318"
2215,3,1,Urban,1998,"AED 2,51,348"
2543,4,3,Suburb,1994,"AED 3,62,472"
2402,3,1,Suburb,1997,"AED 2,97,026"
1787,4,3,Suburb,2009,"AED 2,56,399"
1690,4,2,Rural,1959,"AED 2,26,497"
2357,4,3,Rural,1954,"AED 3,41,721"
1038,5,3,Suburb,2019,"AED 1,46,897"
2316,3,1,Urban,1990,"AED 2,54,426"
1689,2,3,Suburb,1972,"AED 1,87,688"
1161,4,2,Rural,1966,"AED 1,05,778"
2354,2,2,Rural,1996,"AED 2,42,478"
2909,4,3,Urban,1955,"AED 3,92,225"
2127,3,3,Suburb,1950,"AED 2,03,818"
1160,5,2,Rural,1986,"AED 1,44,803"
2822,4,2,Rural,1961,"AED 3,55,549"
2658,4,2,Urban,1954,"AED 2,90,623"
2077,2,1,Rural,2016,"AED 2,13,938"
2963,5,1,Rural,1952,"AED 3,46,226"
2057,3,2,Urban,1953,"AED 2,69,585"
1241,4,2,Urban,1954,"AED 79,665"
1966,3,1,Urban,1972,"AED 2,64,411"
1889,5,2,Rural,1985,"AED 2,29,497"
1112,2,2,Rural,1958,"AED 52,027"
2013,5,1,Suburb,1969,"AED 2,55,727"
1317,5,1,Suburb,1981,"AED 2,12,479"
1022,5,1,Suburb,1978,"AED 1,27,756"
2581,5,2,Urban,1997,"AED 3,13,595"
1823,3,2,Rural,1986,"AED 2,20,882"
2670,3,2,Rural,2019,"AED 3,49,011"
2141,2,2,Suburb,1967,"AED 2,66,925"
1700,4,1,Urban,2013,"AED 1,80,992"
2666,4,3,Rural,2010,"AED 2,25,421"
2018,5,2,Suburb,1964,"AED 1,89,203"
2957,5,2,Urban,1970,"AED 3,68,312"
2235,3,2,Rural,1997,"AED 2,82,960"
2441,4,1,Suburb,1961,"AED 2,10,788"
2136,2,3,Urban,1963,"AED 1,96,538"
2067,5,2,Suburb,1983,"AED 2,20,218"
1127,3,1,Suburb,1971,"AED 2,01,014"
1875,5,2,Rural,1974,"AED 1,91,062"
1157,5,2,Suburb,1982,"AED 88,885"
2808,3,2,Rural,1985,"AED 3,75,527"
1826,4,3,Rural,2014,"AED 2,07,034"
2417,4,1,Urban,2019,"AED 2,56,949"
2890,5,3,Urban,2001,"AED 2,99,672"
1851,4,1,Urban,1969,"AED 1,73,649"
1511,3,1,Suburb,2019,"AED 1,87,438"
2937,4,2,Rural,1960,"AED 3,08,270"
1044,5,2,Rural,1969,"AED 89,548"
2131,5,3,Urban,2018,"AED 2,08,052"
1218,3,1,Rural,2016,"AED 1,84,607"
1442,5,3,Rural,1980,"AED 2,28,388"
2853,4,2,Rural,2012,"AED 2,93,671"
1314,3,3,Urban,2006,"AED 1,59,130"
1176,5,2,Urban,2001,"AED 1,73,180"
1227,3,3,Suburb,1983,"AED 1,44,677"
2726,3,3,Suburb,1993,"AED 2,81,675"
2695,4,3,Suburb,1972,"AED 2,99,466"
2929,4,3,Urban,1974,"AED 3,73,462"
1266,2,1,Urban,2015,"AED 1,16,667"
1869,3,3,Rural,1971,"AED 1,98,622"
1837,4,2,Suburb,1990,"AED 2,79,887"
2402,5,1,Urban,2015,"AED 2,96,288"
1488,2,1,Rural,1975,"AED 2,19,048"
1701,2,1,Suburb,2009,"AED 1,90,589"
1686,5,1,Rural,1980,"AED 2,43,826"
2313,4,1,Urban,1982,"AED 3,80,283"
1995,3,3,Suburb,1963,"AED 2,47,513"
1356,2,3,Urban,1973,"AED 98,132"
2680,5,3,Rural,1992,"AED 2,60,601"
2767,5,2,Suburb,2004,"AED 3,14,661"
1871,5,2,Suburb,2018,"AED 2,15,231"
2973,5,3,Suburb,2006,"AED 3,70,225"
1203,2,3,Rural,2015,"AED 60,626"
2236,3,1,Rural,1961,"AED 1,87,972"
1551,4,3,Urban,2006,"AED 1,85,240"
2810,5,2,Rural,1992,"AED 3,08,861"
1322,5,1,Rural,2010,"AED 1,02,941"
1593,3,3,Suburb,1978,"AED 2,77,826"
1180,3,1,Rural,2003,"AED 1,59,881"
1498,4,3,Suburb,1979,"AED 1,64,498"
2343,2,3,Rural,1987,"AED 2,96,296"
1082,3,1,Urban,2015,"AED 94,972"
1302,2,1,Suburb,1998,"AED 2,53,927"
1261,2,2,Rural,2002,"AED 1,07,684"
1783,5,3,Rural,2014,"AED 1,96,274"
2223,2,2,Urban,1967,"AED 3,30,308"
2263,5,2,Suburb,1976,"AED 2,23,312"
1913,5,3,Urban,1966,"AED 2,20,946"
1691,4,3,Urban,1959,"AED 1,90,439"
1943,2,2,Urban,2004,"AED 1,40,228"
1682,3,2,Urban,2017,"AED 2,11,683"
2318,3,2,Rural,1960,"AED 2,95,836"
2535,3,3,Rural,2009,"AED 3,09,421"
1688,4,1,Urban,2014,"AED 1,96,100"
2904,5,3,Urban,1981,"AED 2,16,333"
1395,5,2,Rural,2019,"AED 1,95,050"
2772,3,1,Suburb,1975,"AED 2,60,087"
2161,5,3,Rural,1954,"AED 1,98,455"
1838,5,1,Rural,1973,"AED 2,22,171"
1877,4,1,Rural,1951,"AED 1,86,869"
1822,2,2,Urban,1995,"AED 1,63,191"
2152,2,3,Urban,1975,"AED 2,99,033"
1048,4,3,Urban,1980,"AED 1,26,586"
2699,4,1,Urban,1980,"AED 2,74,159"
1788,5,3,Suburb,1969,"AED 2,50,797"
1292,4,3,Rural,1976,"AED 1,52,267"
2651,5,3,Suburb,2011,"AED 3,27,085"
1535,2,3,Urban,1968,"AED 74,996"
1310,4,2,Rural,1977,"AED 52,895"
1536,5,2,Urban,2005,"AED 1,38,300"
2926,2,3,Suburb,1995,"AED 3,01,870"
1638,2,3,Suburb,1963,"AED 2,40,458"
1233,3,3,Urban,2019,"AED 73,602"
2232,2,3,Suburb,1956,"AED 1,74,935"
1604,4,3,Urban,1968,"AED 2,43,686"
1093,4,2,Urban,2007,"AED 89,630"
1326,5,1,Suburb,1984,"AED 1,06,797"
1224,4,1,Suburb,1980,"AED 1,92,959"
1966,2,1,Urban,1987,"AED 67,061"
1889,5,2,Urban,2021,"AED 2,41,739"
2815,2,2,Urban,1995,"AED 3,54,615"
1010,3,3,Rural,2004,"AED 1,21,106"
2352,5,2,Suburb,1987,"AED 2,53,805"
2035,3,2,Suburb,1969,"AED 2,64,353"
1034,5,3,Suburb,1986,"AED 1,51,793"
1446,4,3,Suburb,1976,"AED 62,477"
2475,2,3,Suburb,1977,"AED 1,66,354"
2763,5,1,Urban,1951,"AED 3,30,962"
2243,4,1,Urban,2005,"AED 1,94,226"
1440,4,3,Rural,1973,"AED 1,85,001"
1652,4,3,Suburb,2008,"AED 2,18,713"
2558,3,1,Urban,1980,"AED 2,85,610"
1594,4,3,Suburb,1951,"AED 1,36,015"
1228,5,3,Rural,1986,"AED 1,52,756"
2958,3,1,Rural,2010,"AED 2,64,000"
1343,2,2,Rural,1981,"AED 1,42,577"
2103,4,3,Urban,2020,"AED 2,27,308"
2376,5,1,Rural,2012,"AED 2,32,465"
2419,5,1,Suburb,1959,"AED 3,02,498"
2313,3,1,Rural,2000,"AED 3,32,206"
2478,2,2,Rural,1953,"AED 2,74,478"
2866,3,3,Rural,1985,"AED 2,63,726"
2694,4,3,Suburb,1980,"AED 2,55,592"
1988,2,3,Suburb,2011,"AED 1,74,267"
2151,2,2,Rural,1965,"AED 2,35,804"
2725,2,1,Urban,2005,"AED 2,45,420"
1908,3,1,Urban,1958,"AED 2,32,727"
2566,5,3,Urban,1999,"AED 2,86,548"
2921,3,2,Rural,1950,"AED 2,86,011"
2382,5,1,Rural,1995,"AED 3,19,629"
1526,3,2,Urban,1956,"AED 1,45,287"
2336,5,3,Urban,1995,"AED 2,27,906"
1074,5,2,Urban,1976,"AED 73,979"
2569,2,3,Suburb,1967,"AED 4,20,238"
2894,5,2,Suburb,2019,"AED 3,47,477"
1195,4,2,Urban,1973,"AED 2,09,583"
2866,4,1,Suburb,1975,"AED 3,01,682"
1028,5,1,Suburb,1957,"AED 1,10,495"
1705,5,2,Rural,1989,"AED 1,84,951"
2020,5,1,Suburb,2020,"AED 2,04,206"
1015,5,3,Rural,1983,"AED 1,27,496"
2446,2,3,Rural,2008,"AED 2,59,311"
2612,4,1,Urban,1964,"AED 3,57,815"
1804,2,1,Suburb,1961,"AED 2,16,612"
2616,4,1,Urban,1955,"AED 3,20,942"
2428,5,2,Rural,1990,"AED 3,45,827"
1939,4,2,Suburb,1977,"AED 1,40,964"
2659,4,3,Urban,1974,"AED 2,76,428"
2554,3,2,Urban,1954,"AED 3,31,926"
1966,3,1,Urban,1973,"AED 1,74,948"
2637,5,2,Rural,1978,"AED 2,19,882"
2927,2,2,Urban,1978,"AED 2,50,118"
2100,3,2,Urban,1961,"AED 2,80,019"
1228,5,1,Suburb,1957,"AED 2,17,866"
1961,2,2,Rural,2000,"AED 2,04,330"
2320,3,2,Rural,1996,"AED 2,71,811"
2533,4,2,Suburb,1995,"AED 2,76,658"
1714,3,1,Urban,1951,"AED 2,01,419"
1983,5,2,Urban,1997,"AED 1,88,219"
2989,3,3,Suburb,1999,"AED 2,10,456"
1572,3,3,Suburb,1980,"AED 1,53,767"
2561,2,1,Rural,2015,"AED 3,19,492"
2606,2,1,Suburb,1998,"AED 3,38,045"
1614,4,2,Urban,1990,"AED 1,52,357"
1325,5,1,Urban,1961,"AED 1,35,148"
2386,4,2,Urban,1952,"AED 2,89,459"
2692,4,2,Rural,2016,"AED 3,94,623"
1874,3,2,Urban,1974,"AED 2,64,015"
1358,4,2,Suburb,1973,"AED 2,22,121"
2729,2,1,Rural,1989,"AED 2,19,564"
2810,4,3,Rural,1980,"AED 3,91,696"
1323,5,1,Rural,1952,"AED 1,31,707"
2721,4,2,Urban,1959,"AED 2,70,487"
2349,5,3,Suburb,2013,"AED 3,14,392"
2648,5,2,Rural,1971,"AED 3,33,049"
2848,4,2,Rural,1966,"AED 3,41,914"
1164,4,2,Rural,1990,"AED 1,83,883"
2596,4,2,Suburb,2001,"AED 2,79,249"
2627,5,3,Suburb,1953,"AED 3,52,422"
1797,2,1,Urban,2001,"AED 2,52,575"
1454,3,1,Suburb,1967,"AED 2,38,718"
2992,4,1,Urban,2000,"AED 3,74,778"
2176,3,3,Suburb,1954,"AED 1,65,170"
2760,4,3,Urban,2004,"AED 2,91,116"
2150,5,1,Urban,1991,"AED 2,34,502"
1192,5,3,Urban,1983,"AED 1,65,015"
1626,3,2,Rural,1990,"AED 2,09,114"
2797,2,1,Urban,2018,"AED 2,88,751"
1529,5,2,Rural,1952,"AED 2,12,829"
2033,3,3,Suburb,1981,"AED 2,35,625"
1091,5,2,Rural,1993,"AED 83,887"
1138,4,3,Urban,2009,"AED 62,838"
1480,3,1,Rural,2014,"AED 1,11,727"
1448,3,1,Urban,1951,"AED 96,796"
2356,4,1,Rural,1994,"AED 1,63,111"
1868,3,3,Suburb,1957,"AED 2,51,812"
1339,4,2,Rural,2007,"AED 2,37,315"
2984,2,3,Urban,2000,"AED 2,92,308"
2075,4,2,Rural,2005,"AED 2,58,870"
2730,2,3,Urban,2016,"AED 3,76,749"
1465,3,2,Urban,1973,"AED 1,99,188"
1717,4,1,Suburb,1972,"AED 1,47,872"
1798,3,2,Urban,1971,"AED 1,98,192"
1474,2,2,Urban,2015,"AED 1,02,471"
1400,5,1,Suburb,1962,"AED 1,23,060"
2462,5,3,Urban,1958,"AED 2,45,379"
2901,5,2,Rural,1972,"AED 2,05,234"
1604,5,3,Suburb,1974,"AED 1,95,112"
1931,5,2,Suburb,1996,"AED 1,35,975"
1996,2,2,Urban,2008,"AED 2,12,851"
1921,5,3,Urban,2001,"AED 2,46,193"
1820,5,2,Suburb,1990,"AED 2,37,569"
1656,3,2,Rural,1966,"AED 1,96,556"
1597,4,3,Urban,1989,"AED 2,13,594"
2532,4,3,Rural,1977,"AED 3,54,171"
2176,4,3,Urban,1990,"AED 3,12,963"
1513,4,3,Urban,1955,"AED 1,67,836"
2526,2,2,Suburb,1971,"AED 2,30,618"
2877,4,1,Suburb,1950,"AED 4,08,520"
2924,3,3,Rural,1976,"AED 3,08,518"
2795,2,3,Suburb,1964,"AED 2,76,691"
2699,5,2,Rural,1993,"AED 3,56,124"
2029,3,1,Rural,1980,"AED 2,49,925"
1499,3,1,Suburb,2018,"AED 2,27,468"
2684,5,3,Rural,2009,"AED 3,15,919"
1716,5,3,Suburb,1993,"AED 2,71,380"
2141,3,1,Rural,1990,"AED 2,07,821"
2508,2,1,Rural,2005,"AED 2,28,679"
1600,5,3,Urban,2012,"AED 1,40,317"
1665,4,1,Suburb,1978,"AED 2,91,210"
2974,3,2,Suburb,1963,"AED 2,68,269"
2702,3,1,Suburb,1956,"AED 2,62,498"
1467,5,1,Suburb,1952,"AED 1,93,066"
1160,5,1,Urban,2002,"AED 1,75,750"
1269,4,1,Urban,1974,"AED 2,23,402"
2079,4,2,Urban,1981,"AED 1,95,825"
1227,4,2,Urban,2004,"AED 39,458"
1848,4,1,Suburb,1965,"AED 2,33,654"
1148,3,1,Rural,1968,"AED 2,49,265"
2069,5,1,Suburb,2021,"AED 2,43,867"
2167,2,2,Suburb,1991,"AED 2,21,443"
2773,5,3,Urban,1951,"AED 3,98,377"
2807,5,1,Urban,1955,"AED 3,28,324"
1631,4,3,Suburb,1975,"AED 1,46,511"
2363,4,2,Suburb,2017,"AED 1,81,760"
1412,3,1,Rural,1991,"AED 42,880"
2755,4,2,Urban,1999,"AED 2,56,201"
1519,3,1,Rural,1983,"AED 1,89,676"
2367,5,3,Suburb,2012,"AED 2,82,550"
1386,5,3,Urban,1953,"AED 89,449"
2496,5,1,Suburb,1982,"AED 2,91,519"
1274,3,1,Urban,2007,"AED 1,31,185"
1352,3,3,Rural,2003,"AED 2,85,281"
2089,3,2,Rural,1974,"AED 2,02,127"
2102,4,1,Urban,1975,"AED 1,30,300"
